pais	p3501	p3502	p3503	p3504	p3505	p3506	p3507	p3508	p3509	p3510	country_party_weight	occupation	q35_none_pct	q39_more_percent	party_ideology	occupation_1	occupation_2	occupation_3	occupation_4	occupation_5	occupation_6	occupation_8	education_1	education_2	education_3	education_4	education_5	denomination_1	denomination_2	denomination_3	denomination_4	denomination_5	denomination_6	churchattend_1	churchattend_2	churchattend_3	churchattend_4	churchattend_5	churchattend_6	gender_1	gender_2	age	marital_1	marital_2	marital_3	marital_4	marital_5	countryind_1	countryind_2	countryind_3	countryind_4	countryind_5	countryind_6	countryind_7	countryind_8	countryind_9	countryind_10	countryind_11	countryind_12	countryind_13	countryind_14	countryind_15	countryind_16	countryind_17	countryind_18	q39_sameorless_percent	occ1	occ2	parent_1	parent_2	parent_3	parent_4	parent_5	parent_6	parent_8	urbanization	literacy	agrfish	manmin	nbi	q35_mucho_pct	inf_scale	health_scale	safety_scale	ed_scale	unemp_scale	housing_scale	pensions_scale
1.0	3	2	2	3	2	2	3	3	1	2	0.6945661	6.0	40.0	100.0	5.2881355	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	37.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	0	0	0						10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	4	1	3	3	1	3	1	3	2	4	0.68073016	2.0	60.0	28.571428	5.903226	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	39.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.42857	1.0	0.0	0	0	0	0	0	0	0						30.0	1.0	3.0	3.0	1.0	3.0	3.0	3.0
1.0	2	1	2	2	1	2	2	2	1	2	0.6945661	2.0	0.0	100.0	5.2881355	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	56.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	1	0	0	0	0	0	0						30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	3	1	1	2	1	1	1	1	1	1	0.68073016	6.0	10.0	100.0	5.903226	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	43.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0	1	0	0	0	0	0						80.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	3	2	2	3	1	1	3	2	2	3	0.6945661	6.0	40.0	85.71429	5.2881355	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	35.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713	0.0	1.0	0	1	0	0	0	0	0						20.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0
1.0	3	1	2	2	2	1	3	2	2	2	0.68073016	6.0	20.0	100.0	5.903226	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	62.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	0	0	0						20.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	3	1	4	3	3	2	3	2	2	3	0.68073016	2.0	60.0	85.71429	5.903226	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	57.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713	1.0	0.0	0	0	0	0	0	0	0						10.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
1.0	2	1	2	2	1	1	2	2	1	2	0.70286775	6.0	0.0	100.0	2.7741935	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	52.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0	1	0	0	0	0	0						40.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	4	1	2	1	1	1	3	1	1	1	0.70286775	6.0	20.0	100.0	2.7741935	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	52.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	1	0	0						70.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1	1	1	1	1	1	1	1	1	1	0.70286775	7.0	0.0	100.0	2.7741935	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	55.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0	1	0	0	0	0	0						100.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	2	1	2	2	1	1	1	2	1	2	0.70286775	6.0	0.0	71.42857	2.7741935	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	44.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.571426	0.0	1.0	0	0	0	0	0	1	0						50.0	1.0	1.0	3.0	1.0	3.0	1.0	1.0
1.0	1	1	1	1	1	1	1	2	2	2	0.70286775	6.0	0.0	85.71429	2.7741935	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	31.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713	0.0	1.0	0	0	0	0	1	0	0						70.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	2	1	1	2	1	1	1	1	1	1	0.70286775	3.0	0.0	100.0	2.7741935	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	38.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	1	0	0	0	0	0						80.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	2	1	2	3	1	1	2	1	1	1	0.70286775	6.0	10.0	85.71429	2.7741935	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	43.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713	0.0	1.0	0	0	0	0	0	0	1						60.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1	1	1	1	1	1	1	1	1	1	0.70286775	6.0	0.0	100.0	2.7741935	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0							1	0	51.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	0	0	0						100.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	2	1	1	1	1	1	1	1	1	3	0.70286775	2.0	10.0	100.0	2.7741935	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	36.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0	0	0	0	0						80.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1	1	1	1	1	1	1	1	1	1	0.70286775	6.0	0.0	85.71429	2.7741935	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	43.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713	0.0	1.0	1	0	0	0	0	0	0						100.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	3	2	3	3	2	2	3	3	2	2	0.68073016	6.0	50.0	100.0	5.903226	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	34.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0	1	0	0	0	0	0						0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	2	1	2	3	1	1	1	1	1	3	0.70286775	2.0	20.0	100.0	2.7741935	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	31.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	1	0	0	0	0						60.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	3	1	1	2	1	1	1	2	1	2	0.70286775	6.0	10.0	85.71429	2.7741935	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	53.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713	0.0	1.0	0	1	0	0	0	0	0						60.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0
1.0	2	1	1	1	1	1	1	1	1	1	0.70286775	2.0	0.0	100.0	2.7741935	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	40.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0	0	1	0	0						90.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1	1	1	3	1	1	1	1	1	1	0.70286775	7.0	10.0	100.0	2.7741935	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	45.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0	1	0	0	0	0	0	0						90.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	3	1	2	3	1	1	2	2	2	2	0.68073016	6.0	20.0	85.71429	5.903226	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	32.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713	0.0	1.0	0	1	0	0	0	0	0						30.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	2	2	2	3	2	2	2	3	2	3	0.70286775	9.0	30.0	57.142857	2.7741935	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	66.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.857143		0.0	0	0	0	0	0	0	0						0.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0
1.0	3	2	2	4	1	1	2	1	1	2	0.6945661	8.0	20.0	85.71429	5.2881355	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	54.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713	0.0	0.0	1	0	0	0	0	0	0						40.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
1.0	4	1	1	3	2	2	2	2	2	3	0.68073016	8.0	30.0	100.0	5.903226	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	32.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0						20.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	2	2	2	2	2	2	2	2	2	2	0.6945661	6.0	0.0	28.571428	5.2881355	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	38.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.42857	0.0	1.0	0	1	0	0	0	0	0						0.0	1.0	3.0	1.0	3.0	2.0	3.0	3.0
1.0	2	1	4	4	1	4	4	4	1	4	0.6945661	9.0	60.0	85.71429	5.2881355	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	64.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713		0.0	0	0	0	0	1	0	0						30.0	1.0	1.0	1.0	1.0		1.0	1.0
1.0	3	1	2	1	1	2	2	2	2	3	0.68073016	6.0	20.0	85.71429	5.903226	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	42.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713	0.0	1.0	1	0	0	0	0	0	0						30.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0
1.0	1	1	1	1	1	1	2	2	1	3	0.6945661	6.0	10.0	85.71429	5.2881355	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	39.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713	0.0	1.0	0	0	0	0	1	0	0						70.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0
1.0	2	1	1	2	1	1	2	2	1	2	0.6945661	3.0	0.0	57.142857	5.2881355	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	43.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.857143	1.0	0.0	0	0	0	0	1	0	0						50.0	3.0	1.0	1.0	1.0	3.0	3.0	1.0
1.0	1	1	2	2	1	2	2	1	2	2	0.6945661	6.0	0.0	71.42857	5.2881355	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	37.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.571426	0.0	1.0	0	0	0	0	0	0	0						40.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0
1.0	2	1	2	2	1	1	2	3	1	2	0.70286775	6.0	10.0	85.71429	2.7741935	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	44.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713	0.0	1.0	0	0	0	0	0	0	1						40.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0
1.0	4	1	4	4	1	1	4	2	1	4	0.68073016	3.0	50.0	100.0	5.903226	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	51.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0	0	0	0	0	0	1	0						40.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	4	1	4	4	1	1	1	1	1	3	0.68073016	3.0	40.0	71.42857	5.903226	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	45.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.571426	1.0	0.0	1	0	0	0	0	0	0						60.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0
1.0	2	1	2	2	1	1	1	1	1	1	0.70286775	7.0	0.0	100.0	2.7741935	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	53.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0	1	0	0	0	0	0						70.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	2	1	2	1	1	1	2	1	1	1	0.70286775	7.0	0.0	85.71429	2.7741935	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	50.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713	0.0	1.0	0	0	0	0	0	1	0						70.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	2	1	1	1	1	1	1	1	1	1	0.70286775	8.0	0.0	85.71429	2.7741935	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	63.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713	0.0	0.0	0	0	0	0	0	0	1						90.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	2	1	2	3	2	2	3	3	2	2	0.68073016	2.0	30.0	57.142857	5.903226	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	42.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.857143	1.0	0.0	0	0	0	0	0	0	0						10.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0
1.0	3	1	2	3	3	3	3	2	2	3	0.68073016	7.0	60.0	57.142857	5.903226	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	31.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.857143	0.0	1.0	0	0	0	0	0	0	0						10.0	1.0	3.0	1.0	1.0	3.0	1.0	3.0
1.0	1	1	2	3	1	1	2	2	1	3	0.68073016	6.0	20.0	100.0	5.903226	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	33.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0	1	0	0	0	0	0	0						50.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	3	1	4	4	1	1	3	2	1	3	0.68073016	2.0	50.0	57.142857	5.903226	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	56.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.857143	1.0	0.0	0	0	0	0	0	0	0						40.0	1.0	3.0	1.0	1.0	3.0	1.0	2.0
1.0	1	1	1	1	1	1	1	1	1	1	0.6945661	7.0	0.0	100.0	5.2881355	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	53.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	0	0	0						100.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	3	1	1	1	1	1	1	2	4	1	0.6523664	6.0	20.0	85.71429		0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	25.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713	0.0	1.0	0	0	0	0	1	0	0						70.0	1.0	1.0	1.0	1.0		1.0	1.0
1.0	1	1	1	3	1	1	3	3	1	3	0.6945661	6.0	40.0	57.142857	5.2881355	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	41.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.857143	0.0	1.0	0	0	0	0	0	0	0						60.0	3.0	1.0	1.0	1.0	3.0	3.0	1.0
1.0	3	1	1	2	1	2	1	2	1	3	0.70286775	6.0	20.0	100.0	2.7741935	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	32.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	0	0	0						50.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	3	1	2	1	1	1	2	3	1	1	0.6945661	4.0	20.0	85.71429	5.2881355	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	65.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285713	0.0	1.0	0	0	1	0	0	0	0						60.0	1.0	1.0	1.0	1.0		1.0	1.0
1.0	3	1	1	1	1	1	1	1	1	1	0.70286775	7.0	10.0	100.0	2.7741935	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	48.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0	1	0	0	0	0	0	0						90.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1	1	1	1	1	1	1	2	1	1	0.6945661	6.0	0.0	71.42857	5.2881355	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	44.0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.571426	0.0	1.0	0	0	0	0	0	0	1						90.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0
